idOrder,Date,idWarehouse,Channel,Category,idBuyer,Product,Quantity,Revenue,RawMaterial,Handling,Logistic,idSales
1,2020-01-02 11:32:21,17,Domestic,Walk-in-Customer,34,Salmon,10.5,2488500,2188261.3,2884.51,15599.49,9
2,2020-01-02 13:41:40,12,Export,Horeca,13,Salmon Whole Frozen,27.77,4915290,4582050,23821.66,56499.18,7
3,2020-01-03 10:21:13,4,Export,Tokopedia,91,Salmon,175.66,39523500,36284710.2,871.76,267430.7,9
4,2020-01-05 2:40:13,4,Domestic,Tokopedia,94,Salmon Whole Headless,22.2,3862800,3776042.4,4823.21,88353.54,14
5,2020-01-06 12:49:54,6,Domestic,Tokopedia,96,Dori NBL Size 4,40,1600000,1373149.45,55168.1,113192.23,9
6,2020-01-06 16:20:29,19,Export,Shopee,90,Salmon,13.9,3294300,2871214.12,2156.55,19102.18,9
7,2020-01-07 17:45:33,13,Export,Tokopedia,16,Salmon,41.68,9294640,8686355.35,20893.66,51764.95,9
8,2020-01-08 7:44:54,18,Domestic,Horeca,75,Salmon Tasman Whole,30,7200000,4500000,62625,61244.17,3
9,2020-01-09 22:37:06,17,Export,Walk-in-Customer,79,Salmon,10.48,2358000,2164771.51,52.01,15955.1,5
10,2020-01-10 4:35:01,4,Export,Horeca,36,Salmon Atlantik Whole,26.53,4642750,4410007.51,7397.18,199074.07,4
11,2020-01-10 9:31:00,8,Domestic,Tokopedia,73,Salmon,131.94,23881140,23115840,4780.56,36675.3,5
12,2020-01-10 20:18:18,19,Export,Shopee,56,Lobster 300up,8.93,2656675,1762216.14,5984.9,233423.43,9
13,2020-01-10 22:02:08,12,Export,Walk-in-Customer,71,Salmon Tasman,15.49,3562700,3363689.32,2730.67,146249.64,9
14,2020-01-12 2:29:00,12,Export,Walk-in-Customer,2,Udang PND,10,970000,749148.41,1312.94,59996.45,16
15,2020-01-12 10:09:47,2,Domestic,Tokopedia,66,Salmon Whole Frozen,26.41,4621750,3954205.95,10389.35,25740.07,9
16,2020-01-12 14:38:37,3,Domestic,Tokopedia,90,Salmon Tasman,30,7350000,6720147.39,26618.99,168345.65,9
17,2020-01-14 19:53:23,17,Domestic,Walk-in-Customer,86,Salmon,51.83,8551950,8252691.2,135366.52,210458.84,9
18,2020-01-15 19:21:58,4,Export,Walk-in-Customer,2,Salmon,30.26,6808500,6250571.16,1101.18,50916.31,16
19,2020-01-16 6:29:09,10,Domestic,Tokopedia,16,Dori BL,100,3800000,3290909.09,258373.24,272811.66,9
20,2020-01-16 11:16:59,8,Domestic,Walk-in-Customer,67,Salmon,14.5,3262500,3298951.26,92113.1,76739.43,9
21,2020-01-16 13:00:37,18,Export,Shopee,87,Udang PND,10,970000,875000,1578.82,14582.86,1
22,2020-01-19 0:21:53,2,Domestic,Tokopedia,95,Dori NBL Size 4,100,3850000,3832873.62,5832.06,132078.31,16
23,2020-01-19 2:21:06,19,Domestic,Tokopedia,24,Salmon,17.1,3813300,3679647.17,85942.77,93671.57,4
24,2020-01-20 4:04:40,10,Domestic,Walk-in-Customer,56,Salmon Atlantik Whole,9.11,1639800,1031629.96,2766.15,31382.07,14
25,2020-01-20 23:52:13,2,Domestic,Walk-in-Customer,41,Salmon,15.09,3395250,3117023.1,549.14,25390.85,9
26,2020-01-21 6:16:16,12,Export,Shopee,89,Salmon,40,9800000,9137492.34,414597.33,155829.37,9
27,2020-01-21 10:35:47,3,Domestic,Horeca,26,Lobster,8.22,1849500,2732954.63,867.86,5936.39,8
28,2020-01-23 6:11:18,7,Export,Tokopedia,79,Salmon Atlantik Whole,22.04,3857000,3593756.13,5842.67,132318.45,4
29,2020-01-25 18:41:23,16,Domestic,Walk-in-Customer,20,Layang Biru Grade A,10,320000,203722.48,187.68,1742.67,8
30,2020-01-25 19:45:39,12,Export,Walk-in-Customer,79,Salmon,10.46,2353500,2160640.26,1540.67,13646.9,9
31,2020-01-26 7:26:46,19,Domestic,Horeca,35,Cumi Tube size 5-7,20,1100000,900000,1275.05,6895.49,9
32,2020-01-27 21:45:23,19,Export,Walk-in-Customer,44,Dori BL 4 Glazing 45%,50,1800000,1518750,1055.68,9802.5,9
33,2020-01-28 18:06:06,12,Export,Horeca,60,Salmon,10.55,2352650,2198681.6,2727.04,14747.89,5
34,2020-01-29 1:58:10,17,Domestic,Tokopedia,44,Dori NBL 4 Glazing 30%,47.72,8589600,7795539.2,2292.07,399510.53,9
35,2020-01-29 6:54:44,17,Domestic,Horeca,86,Cumi Ring,200,10600000,9718074.87,6216.78,57725.84,12
36,2020-01-29 23:49:19,17,Domestic,Horeca,56,Dori NBL Size 4,10,400000,384388.23,251.61,26739.46,12
37,2020-02-01 8:42:32,2,Export,Horeca,24,Salmon Atlantik Whole,26.12,4518760,2957867.67,7622.63,86478.87,8
38,2020-02-02 19:09:46,8,Export,Horeca,100,Tuna Loin,15.06,1355400,1137143.52,586.31,5957.63,9
39,2020-02-03 23:03:55,16,Domestic,Horeca,24,Salmon,40,9800000,9205823.63,666331,703566.91,12
40,2020-02-05 1:42:34,17,Export,Tokopedia,50,Salmon,10.49,2360250,2166837.13,1545.09,13686.04,9
41,2020-02-05 4:45:08,11,Export,Tokopedia,85,Salmon Tasman,8.64,1512000,1896325.49,4018.32,62564.72,9
42,2020-02-05 15:16:45,4,Domestic,Walk-in-Customer,43,Salmon,15.74,3541500,3228419.96,2963.6,106501.71,9
43,2020-02-05 23:13:39,6,Domestic,Walk-in-Customer,66,Salmon,61.33,13676590,12781530.08,30743.96,76169.49,4
44,2020-02-06 5:49:19,3,Domestic,Horeca,21,Salmon Tasman,20.07,4756590,4358246.91,16849.08,225658.15,9
45,2020-02-07 15:54:57,7,Export,Tokopedia,9,Dori NBL,20,880000,750000,62.47,4632.26,6
46,2020-02-08 18:22:17,2,Export,Tokopedia,55,Salmon Whole Frozen,25.84,4677040,4392800,540.25,24748.16,9
47,2020-02-08 21:10:23,3,Domestic,Walk-in-Customer,66,Dori NBL,10,430000,355000,86.08,660.37,8
48,2020-02-09 1:44:59,3,Export,Walk-in-Customer,49,Salmon Atlantik Whole,14.39,2518250,2346377.08,10562.18,49503.36,13
49,2020-02-09 4:48:22,6,Domestic,Tokopedia,15,Salmon,14.99,3372750,3096366.88,74.39,22821.28,3
50,2020-02-09 5:22:18,1,Domestic,Walk-in-Customer,45,Udang Vannamei Size L,6,570000,448327.9,908.17,24440.73,16
51,2020-02-09 15:26:18,3,Domestic,Horeca,52,Salmon,10.91,2432930,2273707.7,5469.05,13549.8,8
52,2020-02-12 22:30:05,10,Domestic,Tokopedia,11,Dori NBL,130,5005000,4939121.62,1996.56,30811.08,10
53,2020-02-13 8:30:31,7,Export,Shopee,72,Dori NBL,10,430000,355000,30.53,2263.49,9
54,2020-02-13 14:21:18,2,Domestic,Walk-in-Customer,37,Udang Pancet 21/25,20,3760000,3543508.46,2881.89,154348.85,9
55,2020-02-13 17:18:31,12,Domestic,Walk-in-Customer,83,Salmon,11.23,2672740,2340397.57,6008.12,14885.38,9
56,2020-02-14 11:37:19,7,Export,Tokopedia,84,Salmon,10.15,2283750,2096605.99,7801.07,241471,2
57,2020-02-14 19:28:24,18,Export,Horeca,19,Salmon,24.92,5557160,5193473.5,12492.08,30949.68,9
58,2020-02-15 17:54:59,17,Domestic,Shopee,89,Salmon,11.11,2499750,2278764.03,2091.84,75173.69,12
59,2020-02-16 9:51:41,8,Export,Tokopedia,54,Salmon Atlantik Whole,28.65,5071050,4383629.04,22610.94,130241.78,16
60,2020-02-17 8:05:23,16,Export,Walk-in-Customer,8,Dori NBL Size 4,10,400000,343287.36,13792.03,28298.06,5
61,2020-02-17 21:02:25,9,Export,Tokopedia,49,Salmon Whole Frozen,28.29,5063910,5046417.26,2190.52,22258.3,9
62,2020-02-18 1:35:17,7,Export,Horeca,36,Dori NBL 4 Glazingan 45%,300,11550000,10050000,1868.06,86374.87,10
63,2020-02-18 21:08:44,9,Domestic,Tokopedia,46,Salmon,11.07,2468610,2307052.63,2861.45,15474.8,16
64,2020-02-18 21:13:40,18,Domestic,Tokopedia,44,Salmon,150.86,33641780,31440104.8,19730.53,183207.54,3
65,2020-02-20 3:04:11,12,Domestic,Tokopedia,96,Udang PND,10,970000,824035.36,4256.39,31235.83,9
66,2020-02-21 8:47:40,18,Export,Walk-in-Customer,4,Dori NBL Size 4,3,129000,120197.73,297.08,3579.26,2
67,2020-02-21 19:04:24,10,Domestic,Tokopedia,19,Udang Kupas PDTO 26-30,8,1080000,960000,1821.84,20668.76,9
68,2020-02-21 19:50:38,2,Domestic,Horeca,6,cumi Tube Size 5-6,20,1220000,904982.84,5116.99,23982.57,2
69,2020-02-21 20:51:05,14,Domestic,Tokopedia,23,Udang Kipas 200 up,101.49,11163900,9380785.36,17787.18,478691.08,9
70,2020-02-22 4:47:13,3,Export,Tokopedia,75,Kakap Putih,49.86,3315690,2410288.71,13906.85,65179.31,9
